Study_Location,Site / Sampling_Area,Species_Name,Habitat_Type,MP_Presence,MP_Count (items/individual),MP_Type,MP_Structure,MP_Color,Polymer_Type,Source_Suspected,Dominant_Risk_Type,Author
"Agusan Marsh Wildlife Sanctuary, Mindanao, Philippines",Overall (Cyprinus carpio),Cyprinus carpio,Freshwater (Demersal fish),Yes,4.0 ± 1.2 items/individual,"Fiber, Fragment",Irregular,"Blue, Transparent","PE, PP",Household and fishing litter,Ecological,Delmo et al. (2024)
"Agusan Marsh Wildlife Sanctuary, Mindanao, Philippines",Overall wetland (Surface water mean),,Freshwater (Wetland system),Yes,97 ± 20 items/m³,"Fiber (dominant), Fragment",Irregular,"Blue, Transparent","PE, PP",Runoff and domestic input,Ecological,Delmo et al. (2024)
"Agusan Marsh Wildlife Sanctuary, Mindanao, Philippines",Overall wetland (Sediment mean),,Freshwater (Sediment),Yes,124 ± 25 items/kg,"Fiber (dominant), Fragment",Irregular,"Blue, Transparent, Black","PE, PP",Accumulation from surface input,Ecological,Delmo et al. (2024)
"Agusan Marsh Wildlife Sanctuary, Mindanao, Philippines",Comparative species ingestion,"Oreochromis niloticus, Cyprinus carpio",Freshwater (Demersal fish),Yes,Tilapia > Carp in MP ingestion (~22% higher),"Fiber, Fragment",Irregular,"Blue, Transparent","PE, PP",Feeding behavior and habitat proximity,Food safety; Ecological,Delmo et al. (2024)
"Butuan Bay Estuary, Northern Mindanao",Mangrove sediment and water (Agusan River outlet),,Estuarine (mangrove–coastal interface),Yes,116–135 items/kg (sediment); 82 ± 19 items/m³ (surface water),"Fiber (dominant), Fragment, Film",Irregular,"Blue, Transparent","PE, PP, PET","Domestic waste, aquaculture, port activity",Ecological,Arances et al. (2024)
Cagayan de Oro River Estuary,Downstream mixing zone (Macabalan area),,Estuarine (river mouth sediment),Yes,215 ± 38 items/kg,"Fiber, Fragment, Film",Irregular,"Blue, Transparent, Red","PE, PP, PET, PS","Port operations, sewage discharge",Ecological; Human health,Arances et al. (2024)
"Pasig River Estuary, Metro Manila",Mouth near Manila Bay,Oreochromis niloticus,Estuarine (urban river),Yes,3.2 ± 2.1 items/fish,"Fiber, Fragment",Irregular,"Blue, Transparent, Black","PET, PE, PP","Domestic sewage, urban runoff",Ecological; Food safety,Arances et al. (2024)
"Marikina River Estuary, Metro Manila",Downstream near junction,Clarias batrachus,Estuarine (urban river),Yes,3.1 ± 1.8 items/fish,"Fiber, Fragment, Film",Irregular,"Blue, Black, Transparent","PET, PE, PP","Domestic effluent, urban runoff",Food safety,Arances et al. (2024)
Davao Gulf Estuary,Urban coastal zone (Davao City outlet),,Estuarine (marine inflow),Yes,148 ± 29 items/kg (sediment),"Fiber, Fragment",Irregular,"Blue, Transparent","PE, PP","Urban waste, industrial runoff",Ecological,Arances et al. (2024)
Iloilo River Estuary,Inner river–coast transition,,Estuarine (urbanized river mouth),Yes,103 ± 27 items/kg (sediment),"Fiber (dominant), Fragment",Irregular,"Blue, Transparent","PE, PP, PET","Domestic waste, fishing activity",Ecological,Arances et al. (2024)
"Panguil Bay Estuary, Northern Mindanao",Coastal mangrove–river interface,,Estuarine (mangrove sediment),Yes,121 ± 24 items/kg,"Fiber, Fragment, Film",Irregular,"Blue, Transparent","PE, PP","Household litter, fishing nets",Ecological,Arances et al. (2024)
Bicol River Estuary,Naga City downstream section,,Estuarine (river sediment),Yes,94 ± 18 items/kg,"Fiber, Fragment",Irregular,"Blue, Black","PE, PP","Urban waste, riverine transport",Ecological,Arances et al. (2024)
Pampanga River Delta,Coastal floodplain (Candaba–Macabebe),,Estuarine (sediment),Yes,87 ± 17 items/kg,"Fiber, Fragment, Film",Irregular,"Blue, Transparent","PE, PP","Agricultural runoff, domestic plastic litter",Ecological,Arances et al. (2024)
Butuan Bay Estuary,Mangrove root biofilm,,Estuarine (mangrove),Yes,22 ± 7 items/g biofilm,"Fiber, Fragment",Irregular,"Blue, Transparent","PE, PP",Plastic debris retention in mangroves,Ecological,Arances et al. (2024)
Cagayan de Oro Estuary,Adjacent sediment cores,,Estuarine (sediment),Yes,"278 ± 44 items/kg (surface), 156 ± 33 items/kg (subsurface)","Fiber, Fragment",Irregular,"Blue, Transparent","PE, PP, PET",Accumulated port discharge waste,Ecological; Sediment storage,Arances et al. (2024)
Pasig River Estuary,Suspended particulates (surface water),,Estuarine (urban surface water),Yes,198 ± 56 items/m³,"Fiber, Fragment",Irregular,"Blue, Transparent, Black","PET, PE, PP","Plastic debris, sewage inflow",Ecological; Human health,Arances et al. (2024)
Overall Philippine estuarine synthesis,Various locations,,Estuarine (national composite),Yes,Range: 87–278 items/kg (sediment); 82–198 items/m³ (surface water),"Fiber (dominant, 60–75%), Fragment (20–30%), Film (5–10%)",Irregular,"Blue (50%), Transparent (30%), Black (15%), Red (5%)","PE (40%), PP (35%), PET (20%), PS (5%)","Domestic waste, fishing, aquaculture, riverine transport",Ecological; Food safety; Human health,Arances et al. (2024)
"Iligan City, Northern Mindanao, Philippines",Site 1 – Barangay Santiago (coastal urban highway),,Terrestrial (Road Dust – Coastal highway),Yes,"1,125 ± 187 items/kg","Fiber (dominant), Fragment, Film",Irregular,"Blue, Black, Transparent","PE, PP, PET, PS","Tire wear, vehicular exhaust, roadside litter",Human health; Ecological,Montesa et al. (2023)
"Iligan City, Northern Mindanao, Philippines",Site 2 – Barangay Pala-o (commercial center),,Terrestrial (Urban roadside dust),Yes,"1,037 ± 159 items/kg","Fiber, Fragment",Irregular,"Blue, Transparent, Black","PE, PP","Domestic litter, textile fibers, vehicle emissions",Human health,Montesa et al. (2023)
"Iligan City, Northern Mindanao, Philippines",Site 3 – Barangay Hinaplanon (residential zone),,Terrestrial (Urban residential road dust),Yes,968 ± 144 items/kg,"Fiber, Fragment",Irregular,"Blue, Transparent","PE, PP","Synthetic fiber shedding, plastic packaging",Ecological,Montesa et al. (2023)
"Iligan City, Northern Mindanao, Philippines",Site 4 – Barangay Tubod (mixed residential–commercial),,Terrestrial (Road Dust – Mixed zone),Yes,"1,082 ± 172 items/kg","Fiber, Fragment, Film",Irregular,"Blue, Transparent, Red","PE, PP, PET","Road traffic, waste burning, packaging",Human health; Ecological,Montesa et al. (2023)
"Iligan City, Northern Mindanao, Philippines",Site 5 – Barangay Suarez (industrial vicinity),,Terrestrial (Road Dust – Industrial zone),Yes,"1,246 ± 208 items/kg","Fiber (dominant), Fragment, Film",Irregular,"Blue, Black, Transparent","PE, PP, PET, PS","Tire abrasion, exhaust, industrial waste",Human health,Montesa et al. (2023)
"Iligan City, Northern Mindanao, Philippines",Site 6 – Barangay Del Carmen (suburban),,Terrestrial (Road Dust – Suburban area),Yes,854 ± 128 items/kg,"Fiber, Fragment",Irregular,"Blue, Transparent","PE, PP","Domestic waste, fabric shedding",Ecological,Montesa et al. (2023)
"Iligan City, Northern Mindanao, Philippines",Site 7 – Barangay Tominobo (rural periphery),,Terrestrial (Road Dust – Rural roadside),Yes,738 ± 111 items/kg,"Fiber, Fragment",Irregular,"Blue, Transparent","PE, PP","Road erosion, household litter",Ecological,Montesa et al. (2023)
"Iligan City, Northern Mindanao, Philippines",Site 8 – Barangay San Miguel (near coastal market),,Terrestrial (Road Dust – Market area),Yes,"1,189 ± 198 items/kg","Fiber (dominant), Fragment, Film",Irregular,"Blue, Transparent, Black","PE, PP, PET","Market waste, tire wear, plastic litter",Human health; Ecological,Montesa et al. (2023)
"Iligan City, Northern Mindanao, Philippines",Site 9 – Barangay Mahayahay (urban–residential),,Terrestrial (Road Dust – Urban mixed zone),Yes,"1,014 ± 153 items/kg","Fiber, Fragment",Irregular,"Blue, Transparent","PE, PP","Vehicle exhaust, textile shedding",Human health,Montesa et al. (2023)
"Iligan City, Northern Mindanao, Philippines",Site 10 – Barangay Dalipuga (coastal fringe),,Terrestrial (Road Dust – Coastal zone),Yes,"1,173 ± 182 items/kg","Fiber, Fragment, Film",Irregular,"Blue, Transparent, Black","PE, PP, PET","Coastal litter deposition, road runoff",Ecological,Montesa et al. (2023)
"Iligan City, Northern Mindanao, Philippines",Average across 10 sites,,Terrestrial (Road Dust – Urban and coastal system),Yes,"1,043 ± 171 items/kg","Fiber (dominant, 69%), Fragment (26%), Film (5%)",Irregular,"Blue (54%), Black (21%), Transparent (18%), Red (7%)","PE (41%), PP (33%), PET (17%), PS (9%)","Vehicle exhaust, tire wear, plastic litter, synthetic textiles",Human health; Ecological,Montesa et al. (2023)
"Iligan City, Northern Mindanao, Philippines",Potential human exposure (inhalation estimate),,Terrestrial (Airborne microplastic fraction),Yes,Estimated 1.05 × 10⁻⁴ (carcinogenic risk factor),Fiber (dominant),Irregular,"Blue, Black","PE, PP",Airborne re-suspension from road dust,Human health,Montesa et al. (2023)
"Manila Bay, Luzon, Philippines",Coastal surface water,,Marine (Coastal),Yes,"1,300–2,800 items/m³","Fiber (dominant), Fragment",Irregular,"Blue, Transparent","PE, PP, PET","Urban runoff, domestic waste, port activity",Ecological; Food safety,
"Pasig River, Metro Manila",Surface water and sediment,,Estuarine (Urban river),Yes,150–220 items/kg (sediment); 210 ± 54 items/m³ (water),"Fiber, Fragment, Film",Irregular,"Blue, Transparent, Black","PE, PP, PET","Domestic sewage, wastewater effluent",Ecological; Human health,
"Marikina River, Metro Manila",Surface water,,Estuarine (Urban river),Yes,132 ± 26 items/m³,"Fiber, Fragment",Irregular,"Blue, Transparent","PE, PP","Urban runoff, household litter",Ecological,
"Laguna de Bay, Luzon",Surface water,,Freshwater (Lake),Yes,77–156 items/m³,"Fiber, Fragment, Film",Irregular,"Blue, Transparent","PE, PP, PET",Domestic and industrial waste,Ecological,
"Butuan Bay, Mindanao",Coastal sediment,,Marine (Mangrove–estuarine interface),Yes,134 ± 27 items/kg sediment,"Fiber, Fragment",Irregular,"Blue, Transparent","PE, PP","Aquaculture, fish cage debris, domestic litter",Ecological,
"Sarangani Bay, Mindanao",Beach sediment,,Coastal (Marine),Yes,98–152 items/kg,"Fiber, Fragment, Film",Irregular,"Blue, Transparent","PE, PP, PS","Tourism, fishing, packaging waste",Ecological; Food web,
"Iligan City, Northern Mindanao",Road dust (coastal highway),,Onshore (Urban terrestrial),Yes,"1,043 ± 171 items/kg","Fiber, Fragment, Film",Irregular,"Blue, Black, Transparent","PE, PP, PET, PS","Vehicular emissions, synthetic textiles",Human health; Ecological,
"Agusan Marsh, Mindanao",Wetland water and fish,"Oreochromis niloticus, Cyprinus carpio",Freshwater (Wetland),Yes,4.0–5.2 items/individual; 124 ± 25 items/kg sediment,"Fiber, Fragment",Irregular,"Blue, Transparent","PE, PP, PET","Aquaculture waste, domestic input",Ecological; Food safety,
"Cagayan de Oro Estuary, Mindanao",Estuarine sediment,,Estuarine,Yes,215 ± 38 items/kg,"Fiber, Fragment",Irregular,"Blue, Transparent","PE, PP, PET, PS","Port discharge, sewage",Ecological,
"Panguil Bay, Mindanao",Mangrove sediment,,Estuarine (Mangrove area),Yes,121 ± 24 items/kg,"Fiber, Fragment, Film",Irregular,"Blue, Transparent","PE, PP","Fishing gear, household waste",Ecological,
"Talisayan Bay, Northern Mindanao",Seagrass bed,"Enhalus acoroides, Thalassia hemprichii",Marine (Seagrass habitat),Yes,2.7–3.2 items/g dry weight,"Fiber, Fragment, Film",Irregular,"Blue, Transparent, Red","PE, PP, PET","Fishing gear, plastic litter",Ecological; Food web,
"Gusa Bay, Cagayan de Oro",Seagrass bed,Cymodocea rotundata,Marine (Seagrass habitat),Yes,1.9–2.4 items/g dry weight,"Fiber, Fragment",Irregular,"Blue, Transparent, Black","PE, PP","Domestic runoff, fishing litter",Ecological,
"Davao Gulf, Mindanao",Estuarine sediment,,Estuarine,Yes,148 ± 29 items/kg,"Fiber, Fragment",Irregular,"Blue, Transparent","PE, PP",Industrial and port waste,Ecological,
"Panguil Bay, Northern Mindanao",Sediment,,Estuarine (Mangrove sediment),Yes,121 ± 24 items/kg,"Fiber, Fragment",Irregular,"Blue, Transparent","PE, PP","Domestic litter, fishery activity",Ecological,
Agusan River mouth,Mangrove sediment,,Estuarine,Yes,116–135 items/kg,"Fiber, Fragment",Irregular,"Blue, Transparent","PE, PP",Riverine and domestic input,Ecological,
"Cebu Island, Philippines","Consolacion Public Market, Consolacion",Auxis rochei,Marine (Pelagic-neritic),Yes,6.6 ± SD,"Microfiber, Microfragment","Filamentous, Angular","Blue (48%), Red (39%), Black (8%), White (5%)",,"Fishing nets, ropes, textile fibers from wastewater","Food safety (human consumption), Ecological",Bianca Sofia F. Abiñon et al. (2020)
"Cebu Island, Philippines","Pasil Fish Market, Barangay Pasil, Cebu City",Rastrelliger kanagurta,Marine (Pelagic-neritic),Yes,5.3 ± SD,"Microfiber, Microfragment, Micropellet, Microfilm","Filamentous, Irregular","Blue (48%), Red (39%), Black (8%), White (5%)",,"Domestic sewage, textile industry, fishing activities","Human health risk, Ecological",Bianca Sofia F. Abiñon et al. (2020)
"Cebu Island, Philippines","Lapu-Lapu Public Market, Barangay Opon, Lapu-Lapu City",Chanos chanos,Marine / Brackish (Benthopelagic),Yes,11.6 ± SD,"Microfiber, Microfragment, Microfilm","Filamentous, Angular","Blue (48%), Red (39%), Black (8%), White (5%)",,"Fishing gear degradation, urban effluents, textile microfibers","Bioaccumulation, Food safety",Bianca Sofia F. Abiñon et al. (2020)
"Cebu Island, Philippines",All markets combined (Metro Cebu),"A. rochei, R. kanagurta, C. chanos",Marine Coastal Waters,Yes,Total 635 MPs (79/81 fish),"Microfiber (91%), Microfragment (7%), Micropellet (1%), Microfilm (1%)","Irregular, Fibrous","Blue (48%), Red (39%), Black (8%), White (5%)",,"Domestic and industrial wastewater, fishing gear",Ecological and Human Health,Bianca Sofia F. Abiñon et al. (2020)
"Metro Cebu, Philippines",Combined sampling areas,,Coastal Marine Market Fish,Yes,Mean MP density per fish 7.8 (approx.),Microfibers dominant,Filamentous,Blue dominant,,"Textile washing, sewage discharge",Human dietary exposure,Bianca Sofia F. Abiñon et al. (2020)
"General Santos City, Mindanao, Philippines",General Santos City Fish Port Complex,Selar crumenophthalmus (Bigeye scad),Marine (Pelagic),Yes,2.9 ± 0.7 items/fish,"Fiber (dominant), Fragment",Irregular,"Blue (60%), Transparent (25%), Black (15%)","PE, PP","Fishing nets, textile fibers, surface litter",Food safety; Ecological,Dela Peña et al. (2021)
"General Santos City, Mindanao, Philippines",General Santos City Fish Port Complex,Decapterus russelli (Indian scad),Marine (Pelagic),Yes,3.4 ± 1.0 items/fish,"Fiber, Fragment, Film",Irregular,"Blue, Transparent","PE, PP, PET","Port activity, gear debris, domestic waste",Food safety,Dela Peña et al. (2021)
"General Santos City, Mindanao, Philippines",General Santos City Fish Port Complex,Rastrelliger kanagurta (Indian mackerel),Marine (Pelagic–neritic),Yes,4.2 ± 1.2 items/fish,"Fiber (dominant), Fragment",Irregular,"Blue, Transparent, Black","PE, PP","Fishing, household waste",Food safety; Ecological,Dela Peña et al. (2021)
"General Santos City, Mindanao, Philippines",General Santos City Fish Port Complex,Sardinella lemuru (Bali sardine),Marine (Pelagic),Yes,3.6 ± 0.9 items/fish,"Fiber, Fragment",Irregular,"Blue, Transparent","PE, PP","Marine litter, fishing waste",Food safety,Dela Peña et al. (2021)
"General Santos City, Mindanao, Philippines",General Santos City Fish Port Complex,Euthynnus affinis (Kawakawa tuna),Marine (Pelagic),Yes,2.8 ± 1.0 items/fish,"Fiber, Fragment, Film",Irregular,"Blue, Transparent","PE, PP","Fishing gear, plastic debris",Ecological; Food safety,Dela Peña et al. (2021)
"General Santos City, Mindanao, Philippines",General Santos City Fish Port Complex,Thunnus tonggol (Longtail tuna),Marine (Pelagic),Yes,3.9 ± 1.3 items/fish,"Fiber (dominant), Fragment",Irregular,"Blue, Transparent, Black","PE, PP","Fishing nets, packaging plastics",Food safety; Ecological,Dela Peña et al. (2021)
"General Santos City, Mindanao, Philippines",General Santos City Fish Port Complex,Katsuwonus pelamis (Skipjack tuna),Marine (Pelagic–oceanic),Yes,4.5 ± 1.1 items/fish,"Fiber, Fragment",Irregular,"Blue, Transparent","PE, PP, PET","Fishing gear, textile fibers",Food safety; Ecological,Dela Peña et al. (2021)
"General Santos City, Mindanao, Philippines",General Santos City Fish Port Complex,Scomberomorus commerson (Spanish mackerel),Marine (Pelagic–neritic),Yes,3.3 ± 0.8 items/fish,"Fiber, Fragment",Irregular,"Blue, Transparent","PE, PP","Marine litter, gear waste",Food safety,Dela Peña et al. (2021)
"General Santos City, Mindanao, Philippines",General Santos City Fish Port Complex,Auxis thazard (Frigate tuna),Marine (Pelagic),Yes,3.8 ± 1.2 items/fish,"Fiber, Fragment, Film",Irregular,"Blue, Transparent","PE, PP, PET","Fishery waste, marine debris",Ecological,Dela Peña et al. (2021)
"General Santos City, Mindanao, Philippines",General Santos City Fish Port Complex (all samples combined),Multiple pelagic fish species,Marine (Pelagic fish assemblage),Yes,Mean = 3.7 ± 1.0 items/fish (Range: 2.8–4.5),"Fiber (82%), Fragment (15%), Film (3%)",Irregular,"Blue (58%), Transparent (28%), Black (14%)","PE (48%), PP (37%), PET (15%)","Fishing gear, domestic waste, port discharge",Food safety; Ecological,Dela Peña et al. (2021)
"General Santos City, Mindanao, Philippines",Fish Port Sediment,,Marine sediment,Yes,156 ± 32 items/kg,"Fiber, Fragment",Irregular,"Blue, Transparent","PE, PP",Accumulation from port runoff,Ecological,Dela Peña et al. (2021)
"General Santos City, Mindanao, Philippines",Fish Port Surface Water,,Marine surface water,Yes,102 ± 21 items/m³,"Fiber, Fragment",Irregular,"Blue, Transparent","PE, PP","Domestic discharge, fish port runoff",Ecological,Dela Peña et al. (2021)
"Butuan Bay, Agusan del Norte, Philippines",Barangay Masao (BCMS),,Mangrove (coastal estuary),Yes,116.67 ± 106.07 MPs/m³ (surface water); 25.93 ± 20.93 MPs/kg (sediment),"Fiber, Film, Fragment, Filament, Granule, Foamed","Fragmented, thin films","Blue, Transparent (dominant)","PP, LDPE, PET, HDPE, EVA, PVC, GPPS, NY6, NY66, PMMA","Household waste, single-use packaging, fishing activity","Ecological; Food web risk (Extreme danger, RI >1200)",Keleste et al. (2025)
"Butuan Bay, Agusan del Norte, Philippines","Barangay Matabao, Buenavista (BMS)",,Mangrove (coastal estuary),Yes,322.22 ± 103.41 MPs/m³ (surface water); 88.89 ± 50.33 MPs/kg (sediment),"Film, Fragment, Fiber, Filament, Granule, Foamed","Irregular, film-like","Blue, Transparent, Yellow, Red","PP, LDPE, PET, HDPE, EVA, PVC, PMMA, NY6","Household litter, tourism, fishing waste dumping",Ecological; Extreme risk (RI = 3548.83),Keleste et al. (2025)
"Butuan Bay, Agusan del Norte, Philippines","Barangay Ata-atahon, Nasipit (NMS)",,Mangrove (coastal estuary),Yes,250.00 ± 114.56 MPs/m³ (surface water); 55.56 ± 30.91 MPs/kg (sediment),"Film, Fragment, Fiber, Filament","Angular, irregular","Blue, Transparent, White","PP, LDPE, PET, HDPE, EVA, NY6","Urban runoff, domestic waste discharge",Ecological; High danger (RI Level IV),Keleste et al. (2025)
"Butuan Bay, Agusan del Norte, Philippines","Combined sites (BCMS, BMS, NMS)",,Mangrove (coastal ecosystem),Yes,229.63 ± 135.35 MPs/m³ (surface water); 56.79 ± 43.53 MPs/kg (sediment),"Film, Fragment, Fiber (dominant)","Irregular, thin","Blue, Transparent (dominant)","PP, LDPE, PET, HDPE","Household litter, sachet packaging, masks (PP-based), fishing waste",Ecological; Mixed minor–extreme risk,Keleste et al. (2025)
"Butuan Bay, Agusan del Norte, Philippines",Mangrove sediment composite,,Mangrove sediment,Yes,56.79 ± 43.53 MPs/kg,"Film, Fragment, Fiber",Irregular,"Blue, Transparent","PP, LDPE, PET, HDPE","Wastewater inflow, coastal dumping",Ecological,Keleste et al. (2025)
"Butuan Bay, Agusan del Norte, Philippines",Surface water composite,,Marine surface water,Yes,229.63 ± 135.35 MPs/m³,"Film, Fragment, Fiber",Irregular,"Blue, Transparent","PP, LDPE, PET, HDPE","Riverine inflow, mangrove outflow",Ecological,Keleste et al. (2025)
"San Juan, Batangas, Philippines",Upstream Bombong Estuary,,Estuarine (riverine),Yes,"4 MPs (water), 7 MPs (sediment)","Filament, Fragment, Film","Irregular, Angular, Degraded","Blue, White, Transparent","PE (HDPE/LDPE), EVA","Domestic waste, agricultural runoff",Ecological,Espiritu et al. (2019)
"San Juan, Batangas, Philippines",Downstream Bombong Estuary (near oyster hatchery),Crassostrea iredalei (Oyster),Estuarine (coastal mix),Yes,"40 MPs total (39 filaments, 1 fragment)","Filament, Fragment","Thin, Elongated","Blue, Clear",N/A (Not analyzed by FTIR due to embedding),"Fishing nets, textiles, ropes","Food safety, Ecological",Espiritu et al. (2019)
"San Juan, Batangas, Philippines",Downstream Bombong Estuary (water),,Estuarine,Yes,"6 MPs (water), 11 MPs (sediment)","Film, Fragment, Filament, Pellet, Foam","Rounded, Angular, Subangular","Transparent, Blue, White",EVA or degraded PE,"Boat docking, fishing activity, local plastic use",Ecological,Espiritu et al. (2019)
"San Juan, Batangas, Philippines","Coastal area of Ticalan, Tayabas Bay",,Coastal Marine,Yes,"6 MPs (water), 4 MPs (sediment)","Film, Fragment, Filament","Crumpled, Degraded","Transparent, Blue","EVA, degraded PE","Coastal tourism, domestic waste inflow",Ecological,Espiritu et al. (2019)
"San Juan, Batangas, Philippines",Combined Bombong Estuary sites,,Estuary-Coastal gradient,Yes,"38 MPs total (22 sediment, 16 water)","Film, Fragment, Filament, Pellet, Foam","Irregular, Elongated","Blue, Transparent","Predominantly PE-based (HDPE/LDPE, EVA)","Improper disposal, fishing nets, runoff",Ecological,Espiritu et al. (2019)
"San Juan, Batangas, Philippines",Upstream Sediment (FTIR Sample 1–5),,Estuarine sediment,Yes,,"Fragment, Film",Angular,,"HDPE/LDPE, EVA",Runoff from inland waste,Ecological,Espiritu et al. (2019)
"San Juan, Batangas, Philippines",Downstream Water (FTIR Sample 3–7),,Estuarine surface water,Yes,,"Film, Fragment",Irregular,,"EVA, Degraded PE, PP","Boat waste, aquaculture",Ecological,Espiritu et al. (2019)
"San Juan, Batangas, Philippines",Coastal Sediment (FTIR Sample 4–8),,Coastal sediment,Yes,,"Film, Fragment",Irregular,,"PE (HDPE/LDPE) with silica, EVA","Shoreline litter, plastic bag degradation",Ecological,Espiritu et al. (2019)
"San Juan, Batangas, Philippines","Reef fish species (Labridae, Serranidae, Lutjanidae)",Various reef fishes,Marine (coastal reef),Yes,28 MPs,"Filament, Fragment","Thin, Angular, Irregular","Blue, Transparent",N/A (not analyzed by FTIR),"Fishing nets, textile fibers","Bioaccumulation, Food safety",Espiritu et al. (2019)
"San Juan, Batangas, Philippines",Freshwater/Estuarine fish (Mugilidae),Mugilidae spp.,Estuarine,Yes,51 MPs,"Filament (47), Fragment (3), Pellet (1)","Elongated, Angular","Blue, Transparent",,"Fishing paraphernalia, textiles","Food safety, Ecological",Espiritu et al. (2019)
"San Juan, Batangas, Philippines",Juvenile fish (Lutjanidae),Lutjanidae,Marine Coastal,Yes,14 MPs,"Filament, Pellet","Disk-shaped, Elongated",Transparent,,"Fishing ropes, nets","Human health (bioaccumulation), Ecological",Espiritu et al. (2019)
"Iligan City, Mindanao, Philippines","Barangay Buru-un, Site 1 (8.187939°N, 124.169021°E)",Echinolittorina sp.,Intertidal (Rocky shore),Yes,"10 suspected MPs (2 fragments, 8 fibers)","Fiber, Fragment","Thin, Elongated, Irregular","Blue, Transparent",Chlorinated Polyethylene (confirmed via FTIR),"Residential and commercial litter, food packaging, textiles",Food safety; Bioaccumulation; Ecological,Laput et al. (2024)
"Iligan City, Mindanao, Philippines","Barangay Buru-un, Site 2 (8.193964°N, 124.183295°E)",Echinolittorina sp.,Intertidal (Rocky shore),Yes,"8 suspected MPs (3 fragments, 5 fibers)","Fiber, Fragment","Thin, Irregular","Blue, Transparent",Polyethylene (FTIR-matched polymer of ethylene),"Residential litter, coastal dumping, fishing activity",Ecological; Food safety,Laput et al. (2024)
"Iligan City, Mindanao, Philippines",Combined Sites (S1 + S2),Echinolittorina sp.,Coastal intertidal,Yes,"Total: 18 suspected MPs (13 fibers, 5 fragments)","Fiber (dominant), Fragment","Irregular, Thin, Elongated","Blue, Transparent","Polyethylene, Chlorinated Polyethylene","Anthropogenic litter: sachets, food packaging, textile fibers",Ecological; Food web risk,Laput et al. (2024)
"Iligan City, Mindanao, Philippines",Site 1 shore (adjacent to commercial area),Echinolittorina sp.,Intertidal,Yes,,Fiber,Filamentous,,,"Laundry wastewater, carwash runoff",Ecological,Laput et al. (2024)
"Iligan City, Mindanao, Philippines",Site 2 shore (residential area),Echinolittorina sp.,Intertidal,Yes,,Fragment,Irregular,,,Household plastic disposal,Ecological,Laput et al. (2024)
"Metro Manila, Philippines",Mandaluyong City,,Atmospheric (urban air),Yes,19 MPs,"Fiber, Fragment, Film","Filamentous, Irregular","Black, Blue, Brown","Polyester, PET, Polyamide","Textile fibers, traffic emissions, urban dust","Human health (inhalation, respiratory distress)",Romarate et al. (2023)
"Metro Manila, Philippines",Muntinlupa City,,Atmospheric (urban air),Yes,19 MPs,"Fiber, Film",Filamentous,"Black, Blue","Polyester, PET","Textile fibers, vehicular sources",Human health (respiratory and cytotoxic risks),Romarate et al. (2023)
"Metro Manila, Philippines",Caloocan City,,Atmospheric (urban air),Yes,15 MPs,"Fiber, Film",Filamentous,"Black, Brown",Polyester,"Clothing, industrial emissions",Human health (inhalation exposure),Romarate et al. (2023)
"Metro Manila, Philippines",San Juan City,,Atmospheric (urban air),Yes,14 MPs,"Fiber, Fragment","Filamentous, Angular","Blue, Black",Polyester,"Domestic textiles, dust resuspension",Human health (respiratory exposure),Romarate et al. (2023)
"Metro Manila, Philippines",Valenzuela City,,Atmospheric (urban air),Yes,,"Fiber, Fragment, Film","Filamentous, Angular","Black, Brown","Polyester, Polyamide","Textile industries, dust",Human health (respiratory risk),Romarate et al. (2023)
"Metro Manila, Philippines",Navotas City,,Atmospheric (urban air),Yes,,"Fiber, Fragment",Filamentous,"Black, Blue",Polyester,"Industrial emissions, coastal aerosol",Human health (respiratory hazard),Romarate et al. (2023)
"Metro Manila, Philippines",Marikina City,,Atmospheric (urban air),Yes,,"Fiber, Film, Fragment",Filamentous,"Black, Blue",Polyester,Textile and household dust,Human health (respiratory distress),Romarate et al. (2023)
"Metro Manila, Philippines",Las Piñas City,,Atmospheric (urban air),Yes,5 MPs,"Fiber, Film",Filamentous,"Black, Blue",Polyester,"Traffic, household emissions",Human health (inhalation risk),Romarate et al. (2023)
"Metro Manila, Philippines",Parañaque City,,Atmospheric (urban air),Yes,5 MPs,"Fiber, Film",Filamentous,"Blue, Brown",Polyester,"Textile wear, airborne plastics",Human health (respiratory effects),Romarate et al. (2023)
"Metro Manila, Philippines",Pasig City,,Atmospheric (urban air),Yes,3 MPs,"Fiber, Granule","Filamentous, Spherical",Blue,Polyester,Household and road dust,Human health (inhalation),Romarate et al. (2023)
"Metro Manila, Philippines",Quezon City,,Atmospheric (urban air),Yes,2 MPs,Fiber,Filamentous,Blue,Polyester,"Urban textile, vehicular emissions",Human health (airborne inhalation),Romarate et al. (2023)
"Metro Manila, Philippines",Malabon City,,Atmospheric (urban air),Yes,1 MP,Fiber,Filamentous,Black,Polyester,"Local traffic, dust",Human health (respiratory exposure),Romarate et al. (2023)
"Metro Manila, Philippines",Manila City,,Atmospheric (urban air),Yes,,"Fiber, Fragment",Filamentous,"Black, Blue","Polyester, Polyamide","Clothing, emissions",Human health (inhalation hazard),Romarate et al. (2023)
"Metro Manila, Philippines",Makati City,,Atmospheric (urban air),Yes,,"Fiber, Film",Filamentous,"Black, Blue",Polyester,"Synthetic textiles, traffic",Human health (respiratory risk),Romarate et al. (2023)
